from_profile,from_debt,to_profile,to_debt,count
1,0,2,0,1
3,0,4,0,1
4,0,5,0,3729934
5,0,6,0,7464343
7,0,8,0,7450140
8,0,9,0,1
9,0,10,0,7
10,0,11,0,7
11,0,12,0,2
12,0,13,0,5075484
13,0,14,0,9308445
15,2,16,0,9304355
16,0,17,2,4228592
17,2,3,0,7677312
3,0,18,0,3439724
18,0,4,0,1
4,0,19,0,1863445
19,0,20,0,7457645
20,0,21,0,3728030
21,0,22,0,1865473
22,0,23,0,7448318
23,0,24,0,7460772
24,0,5,0,7460771
5,0,19,0,7458655
20,0,25,0,7448839
26,0,27,0,7461077
27,0,28,0,3734863
28,0,29,0,7474060
29,0,30,0,7464082
30,0,24,0,7449284
24,0,31,0,1866177
31,0,26,0,3731182
27,0,32,0,1865516
32,0,9,0,1
9,0,9,0,6
11,0,33,0,6
33,0,34,0,6
34,0,35,0,6
35,0,36,0,10936588
36,0,15,2,5075763
16,0,37,0,9311011
37,0,38,2,5081388
38,2,34,2,5869234
34,2,35,0,5859537
37,0,13,0,4229622
13,0,39,2,4229622
39,2,40,0,7680321
40,0,41,2,9327398
2,0,42,0,4
42,0,43,0,2
43,0,44,2,5081898
44,2,45,0,9323996
45,0,46,0,9311020
46,0,47,0,4233496
47,0,48,2,7694203
48,2,49,0,3451644
49,0,14,0,1905469
14,0,44,2,4242098
49,0,50,0,853188
50,0,41,2,3462258
41,2,51,0,3449033
51,0,52,0,1545524
52,0,52,0,695519
52,0,4,0,1
4,0,53,0,465327
53,0,4,0,1862877
19,0,54,0,1863287
54,0,54,0,931257
54,0,22,0,1863195
23,0,53,0,3723612
53,0,25,0,3727930
25,0,55,0,3728584
55,0,56,0,7448850
56,0,57,0,7440128
57,0,22,0,3719650
19,0,58,0,1861586
58,0,57,0,7467475
57,0,59,0,7450569
59,0,60,0,7450568
60,0,61,0,3721094
61,0,5,0,3721094
6,0,7,0,7464342
8,0,26,0,3719098
26,0,62,0,7438041
62,0,63,0,7449049
63,0,20,0,3719379
20,0,64,0,3719379
64,0,65,0,7449967
65,0,66,0,3722117
66,0,67,0,1860744
67,0,62,0,7460545
65,0,5,0,7465824
28,0,68,0,7450071
68,0,60,0,3720266
60,0,55,0,3720266
56,0,69,0,7463698
69,0,70,0,1861250
70,0,28,0,3723445
5,0,71,0,3719223
71,0,20,0,3719224
25,0,26,0,7448838
27,0,72,0,1860699
72,0,5,0,7461236
5,0,73,0,3730814
73,0,74,0,1863057
74,0,7,0,3722785
63,0,59,0,3729669
59,0,74,0,3725146
8,0,75,0,1862785
75,0,75,0,931703
75,0,72,0,1862349
74,0,73,0,466767
73,0,9,0,1
9,0,76,0,36
76,0,77,0,33
77,0,78,0,3
78,0,2,0,3
42,0,10,0,3
10,0,79,0,3
79,0,79,0,1
79,0,12,0,1
12,0,38,2,5874841
34,2,80,0,1480415
80,0,15,2,5875778
15,2,81,2,10955630
81,2,2,2,5086480
2,2,3,0,9333757
3,0,82,2,9324069
82,2,83,2,5078139
83,2,80,0,2752680
81,2,79,2,3119367
79,2,79,2,1642530
79,2,12,0,3122040
82,2,40,0,4245929
40,0,84,0,4245929
84,0,46,0,7691753
46,0,38,2,9317345
38,2,43,0,9317344
43,0,85,2,10948575
85,2,11,2,5084405
11,2,86,2,5084405
86,2,35,0,9326392
36,0,87,2,2750186
87,2,43,0,5859993
85,2,33,2,3111900
33,2,45,0,5859941
45,0,88,2,10950441
88,2,35,0,5084185
35,0,48,2,9333531
48,2,83,2,9326744
83,2,11,2,9326743
11,2,33,2,5861550
11,2,51,0,4249653
51,0,13,0,4249653
14,0,15,2,9308444
46,0,89,0,3451932
89,0,17,2,1912128
48,2,90,2,4249346
90,2,16,0,7704992
38,2,91,2,5086995
91,2,40,0,5086995
41,2,2,2,9327397
3,0,14,0,4247277
14,0,92,0,3452711
92,0,39,2,1913081
92,0,93,0,1539630
93,0,84,0,1542315
16,0,50,0,3469744
41,2,86,2,4241987
50,0,18,0,1550716
18,0,13,0,3453607
13,0,93,0,3470299
93,0,94,0,695105
94,0,95,2,381182
95,2,90,2,1551955
94,0,94,0,313923
94,0,52,0,313962
52,0,47,0,1545286
49,0,96,0,692987
96,0,97,2,144014
97,2,98,0,268577
98,0,4,0,1
4,0,99,0,117339
99,0,100,0,933316
100,0,101,0,465595
101,0,67,0,1862814
62,0,4,0,3730594
4,0,4,0,930266
4,0,102,0,232389
102,0,99,0,467210
99,0,102,0,931941
102,0,6,0,1862841
6,0,29,0,7450223
29,0,19,0,3721004
19,0,19,0,931603
19,0,64,0,1861853
66,0,102,0,930900
19,0,4,0,465087
21,0,103,0,931499
103,0,101,0,466161
7,0,23,0,7473053
23,0,67,0,3736987
30,0,65,0,7475099
65,0,58,0,3737125
57,0,104,0,3737384
104,0,6,0,1868439
104,0,53,0,933635
25,0,61,0,3738543
61,0,21,0,1869808
21,0,21,0,934235
21,0,58,0,1868764
61,0,64,0,1868735
5,0,28,0,7465823
29,0,25,0,3739197
69,0,7,0,3736066
60,0,72,0,7464894
8,0,32,0,1868257
32,0,60,0,3735420
59,0,30,0,3737973
68,0,71,0,1867512
71,0,59,0,3733450
74,0,31,0,931965
73,0,56,0,3734499
69,0,105,0,1866383
105,0,32,0,934260
72,0,73,0,1865737
73,0,73,0,933408
32,0,32,0,931959
32,0,71,0,1865938
74,0,106,0,932718
106,0,74,0,466130
74,0,74,0,931593
75,0,107,0,466280
107,0,76,0,465847
76,0,106,0,465908
106,0,31,0,933040
32,0,75,0,465718
75,0,76,0,466344
106,0,9,0,1
76,0,34,0,27
34,0,10,0,3
10,0,10,0,3
10,0,91,0,3
91,0,83,0,3
83,0,108,0,3
108,0,77,0,3
77,0,108,0,3
108,0,10,0,3
10,0,9,0,5
34,0,33,0,5
33,0,33,0,1
33,0,45,0,1
88,2,109,0,3112386
109,0,87,2,1473861
33,2,33,2,1636854
109,0,110,2,855147
110,2,77,2,855147
77,2,34,2,439357
34,2,34,2,1633603
36,0,111,2,3110640
111,2,112,0,850670
112,0,113,0,852568
113,0,87,2,1635946
109,0,113,0,783378
2,2,42,2,10956174
42,2,12,0,2752800
34,2,108,2,1638987
108,2,80,0,1642683
79,2,9,2,852834
9,2,9,2,850189
9,2,10,2,1634787
10,2,11,2,5859942
33,2,34,2,3111597
111,2,9,2,784598
42,2,43,0,5081896
88,2,78,2,2753871
78,2,2,2,5876055
42,2,10,2,3121478
10,2,91,2,3122029
91,2,83,2,5874300
83,2,45,0,5077523
85,2,91,2,2752271
43,0,92,0,4228762
92,0,41,2,4228762
40,0,114,2,3439919
114,2,90,2,1903691
11,2,12,0,5075481
81,2,10,2,2749783
18,0,39,2,1537618
83,2,108,2,3122235
108,2,78,2,1479720
114,2,115,0,849170
115,0,17,2,1536592
51,0,84,0,1903509
96,0,50,0,693943
96,0,116,0,311471
116,0,96,0,690251
96,0,14,0,1542063
93,0,93,0,687249
89,0,96,0,851812
93,0,47,0,1915421
93,0,95,2,859773
50,0,50,0,696815
50,0,96,0,314540
52,0,18,0,143978
18,0,50,0,310347
98,0,93,0,67069
93,0,18,0,309270
114,2,117,2,687058
117,2,98,0,308364
98,0,52,0,140052
52,0,96,0,32828
96,0,100,0,128097
100,0,4,0,58239
4,0,100,0,115648
100,0,54,0,466000
54,0,4,0,116244
54,0,19,0,232585
19,0,99,0,58402
100,0,21,0,233857
21,0,19,0,466955
66,0,99,0,930473
54,0,21,0,466730
104,0,102,0,935310
102,0,53,0,933661
19,0,53,0,233975
53,0,100,0,232070
100,0,103,0,465085
103,0,54,0,465152
53,0,53,0,931893
53,0,99,0,232799
21,0,101,0,931058
103,0,103,0,465338
103,0,21,0,232250
62,0,6,0,3718943
24,0,56,0,3720478
72,0,30,0,3722328
68,0,72,0,1862294
24,0,106,0,1862630
106,0,70,0,931467
106,0,118,0,931163
118,0,70,0,930728
72,0,32,0,465976
105,0,107,0,466096
107,0,32,0,932903
73,0,72,0,465755
72,0,72,0,931202
118,0,106,0,465621
106,0,73,0,232339
105,0,76,0,466027
76,0,118,0,931650
107,0,107,0,466807
72,0,75,0,233712
73,0,75,0,116365
74,0,72,0,233027
106,0,72,0,116447
72,0,76,0,115972
118,0,74,0,233798
76,0,74,0,232983
74,0,107,0,29422
76,0,9,0,26
76,0,10,0,24
10,0,76,0,26
77,0,34,0,5
34,0,34,0,5
112,0,110,2,896275
110,2,34,2,226277
34,2,112,0,57923
110,2,33,2,114306
33,2,79,2,438694
108,2,34,2,852039
34,2,79,2,224471
79,2,112,0,441109
33,2,10,2,854958
10,2,10,2,1643320
108,2,77,2,1642515
77,2,108,2,856146
108,2,33,2,441090
77,2,33,2,226506
33,2,112,0,114710
110,2,108,2,438915
9,2,76,2,895441
76,2,108,2,455177
77,2,78,2,1642464
10,2,79,2,856001
34,2,33,2,851795
34,2,10,2,442817
76,2,77,2,899008
111,2,10,2,1475372
117,2,115,0,378694
18,0,18,0,686428
52,0,93,0,311748
89,0,116,0,687992
116,0,97,2,308728
97,2,115,0,308728
93,0,50,0,142376
116,0,100,0,270328
100,0,94,0,267803
94,0,18,0,64896
94,0,93,0,141649
93,0,116,0,30851
100,0,52,0,129408
50,0,97,2,64847
98,0,95,2,311000
50,0,116,0,141396
100,0,93,0,61599
93,0,97,2,15390
100,0,18,0,29873
18,0,100,0,29091
100,0,19,0,116884
19,0,100,0,58337
103,0,19,0,117122
21,0,102,0,58939
102,0,100,0,466393
53,0,102,0,466218
21,0,4,0,233029
19,0,102,0,116478
73,0,32,0,232731
74,0,32,0,116829
32,0,107,0,232674
32,0,76,0,233004
118,0,73,0,116480
73,0,107,0,58580
106,0,75,0,29077
74,0,75,0,58191
118,0,32,0,29041
76,0,73,0,117022
76,0,32,0,29102
110,2,9,2,14343
76,2,10,2,58057
10,2,76,2,231681
108,2,9,2,56673
79,2,76,2,453182
77,2,10,2,115875
10,2,9,2,439259
33,2,9,2,226444
76,2,33,2,116448
10,2,112,0,226598
83,0,45,0,1
18,0,96,0,140490
52,0,50,0,64865
93,0,96,0,67005
50,0,100,0,61163
94,0,50,0,31588
18,0,97,2,29795
94,0,96,0,14727
98,0,18,0,29624
52,0,116,0,15554
52,0,100,0,7352
100,0,53,0,28961
21,0,53,0,115973
103,0,4,0,58008
103,0,53,0,29044
54,0,102,0,28867
118,0,72,0,58071
72,0,107,0,116453
76,0,72,0,57877
74,0,76,0,29410
73,0,76,0,58171
